,content,subID,mainID,filename,date,hasDollar
0,"












































CITY OF JET'

san Jose
CAPITAL OF SILICON VALLEY

City Council Meeting 
MINUTES

Tuesday, January 7,2020

SAM LICCARDO, MAYOR 
CHAPPIE JONES, VICE MAYOR, DISTRICT 1 

SERGIO JIMENEZ, DISTRICT 2 
RAUL PERALEZ, DISTRICT 3 

LAN DEEP, DISTRICT 4 
MAGDALENA CARRASCO, DISTRICT 5 

DEV DAVIS, DISTRICT 6 
MAYA ESPARZA, DISTRICT 7 
SYLVIA ARENAS, DISTRICT 8 

PAM FOLEY, DISTRICT 9 
JOHNNY KHAMIS, DISTRICT 10

City of San Jose Page 1 January 7,2020



#%
CITY OF HzT ZHH

SAN JOSE
CAPITAL OF SILICON VALLEY

MINUTES OF THE CITY COUNCIL

The Council of the City of San Jose convened in Regular Session on Tuesday, January 7,2020, at 
9:35 a.m. in the Council Chambers at City Hall.

20-011 - Closed Session, Call to Order in Council Chambers (See Page 9 for Closed Session Minutes)

By unanimous consent, Council recessed from the Closed Session at 11:15 a.m.; Council reconvened to 
Regular Session at 1:34 p.m. in the Council Chambers.

Present: Councilmembers - Arenas, Carrasco, Davis, Diep, Jimenez, Jones, Khamis, Esparza,
Peralez, Foley; Liccardo.

Absent: Councilmembers - All Present.

• Invocation (District 1)
JianSheng Shi, Abbess of Chung Tai Zen Center of Sunnyvale provided the Invocation.

• Pledge of Allegiance

Mayor Sam Liccardo led the Pledge of Allegiance.

• Orders of the Day
Upon motion by Councilmember Johnny Khamis, seconded by Councilmember Pam Foley, and carried 
unanimously, the Orders of the Day and the Amended Agenda were approved, with Item 6.1 “Submit 
Letter to VTA In Affirmation and Preservation of Funding for Planned Highway and Streets Projects 
with Committed VTA Measure B Tax Dollars” approved to include on the agenda. Council's Rules of 
Conduct, Resolution No. 78145, Rule 3(d) (8 votes required).
(11-0.)
See Item 6.1 for action taken.

• Closed Session Report
None provided.",0,0,Minutes_56.pdf,"January 7,2020",False
1,"1. CEREMONIAL ITEMSNone provided.

City of San Jose Page 2 January 7,2020

",0,1,Minutes_56.pdf,"January 7,2020",False
2,"2. CONSENT CALENDAR
Upon motion by Councilmember Dev Davis, seconded by Vice Mayor Chappie Jones, and carried 
unanimously, the Consent Calendar was approved and the below listed actions were taken as indicated. 
(11-0.)",0,2,Minutes_56.pdf,"January 7,2020",False
3,2.1 Approval of City Council Minutes.None provided.,1,2,Minutes_56.pdf,"January 7,2020",False
4,"2.2 Final Adoption of Ordinances.20-056 Final Adoption of Ordinances.

(a) Ord No. 30352 - An Ordinance of the City of San Jose Rezoning 
Certain Real Property of Approximately 3.71 Gross Acre Site Situated 
on the Southeast Corner of Oakland Road and Corie Court (1510 &
1530 Oakland Road) from the LI(PD) Light Industrial Planned 
Development Zoning District to the CIC Combined Industrial/ 
Commercial Zoning District. [Passed for Publication on 12/17/19 - Item 10.1(b) (19-1212)](b) Ord No. 30353 - An Ordinance of the City of San Jose Amending 
Title 20 (Zoning Ordinance or Zoning Code) of the San Jose Municipal 
Code to Amend Section 20.30.100, Amend Section 20.30.110, Repeal 
Section 20.30.150, Amend Section 20.30.310, and add Part 4.5 to 
Chapter 20.30 of Title 20; Amend Section 20.80.160 of Chapter 20.80 
of Title 20; Amend Section 20.90.220 of Chapter 20.90 of Title 20; add 
Section 20.200.324 and Amend Section 20.200.325 of Chapter 20.200 
of Title 20 to Modify Current Accessory Dwelling Unit (ADU) 
Provisions to, Among Other Changes, Omit Minimum Lot Size and Lot 
Coverage Requirements, and to Make Other Technical, 
Non-Substantive, or Formatting Changes Within Those Sections of Title 
20 of the San Jose Municipal Code. [Passed for Publication on 
12/17/19 - Item 10.3(a) (19-1258)]

Action: Ordinance Numbers 30352 and 30353 were adopted. (11-0.)",2,2,Minutes_56.pdf,"January 7,2020",False
5,"2.3 Approval of Council Committee Minutes.
None provided.

City of San Jose Page 3 January 7,2020

",3,2,Minutes_56.pdf,"January 7,2020",False
6,"2.4 20-005 Mayor and Council Excused Absence Requests.
Request for an excused absence for Councilmember Jimenez, from the 
Neighborhood Services and Education Committee on December 12,
2019, due to illness.
CEQA: Not a Project, File No. PP17-010, City Organizational and 
Administrative Activities resulting in no changes to the physical 
environment. (Jimenez)

Action: The Excused Absence Request was approved. (11-0.)",4,2,Minutes_56.pdf,"January 7,2020",False
7,"2.5 City Council Travel Reports.
None provided.",5,2,Minutes_56.pdf,"January 7,2020",False
8,"2.6 Report from the Council Liaison to the Retirement Boards.
Councilmember Dev Davis pulled Item 2.6 to report out on actions taken by the Federated Retirement 
Board. Councilmember Pam Foley reported on actions taken by the Police and Fire Retirement Board.

Action: Upon motion by Councilmember Dev Davis, seconded by Councilmember Pam Foley and carried 
unanimously, the Council Liaison to the Retirement Board reports were accepted. (11-0.)",6,2,Minutes_56.pdf,"January 7,2020",False
9,"2.7 20-006 Amendment to the Agreement with Cruz Strategies, LLC for State LegislativeAdvocacy Services.
Adopt a resolution authorizing the City Manager to execute the First 
Amendment to the Agreement for Consultant Services with Cruz 
Strategies, LLC that includes:
(a) Additional lobbying services obligations for Cruz Strategies, LLC 
including lobbying services relating to Public Safety Power Shutoff 
events and advancing energy resiliency;
(b) Increase the total compensation paid for state legislative advocacy 
services from $480,000 to $570,000 for the period of July 1, 2019 to 
June 30, 2021 (an additional $5,000 per month for the remaining 18 
months of the contract), subject to the appropriation of funds; and
(c) Increase the contract amount for the one-year option to extend the 
Agreement from July 1, 2021 to June 30, 2022 to provide ongoing 
services from $240,000 to $300,000 (an additional $5,000 per month), 
subject to the appropriation of funds.
CEQA: Not a Project, File No. PP17 002, Consultant services for 
design, study, inspection, or other professional services with no 
commitment to future action. (City Manager)

Action: Resolution No. 79365 was adopted. (11-0.)

City of San Jose Page 4 January 7,2020

",7,2,Minutes_56.pdf,"January 7,2020",True
